hero,winner,kills,deaths,assists
101,True,10,2,2
64,True,4,0,18
46,True,7,0,10
108,False,6,8,4
3,False,2,2,6
45,False,3,5,5
34,False,1,4,7
20,False,3,3,4
5,True,5,4,11
79,True,7,1,8
95,True,0,5,4
33,True,9,2,11
44,True,1,3,10
59,False,0,10,12
61,False,2,9,6
70,False,7,4,6
91,False,17,2,2
97,False,6,5,10
56,True,10,9,7
16,True,0,6,5
54,True,4,7,2
33,True,3,6,8
99,True,12,5,7
83,True,8,0,12
10,True,7,2,8
23,True,4,0,6
20,True,2,3,10
80,True,8,2,7
18,False,1,6,4
16,False,0,6,1
79,False,0,5,6
106,False,5,8,0
1,False,1,5,2
85,True,0,1,2
63,True,0,2,5
26,True,2,1,6
38,True,4,3,1
45,True,3,5,4
8,False,1,3,5
35,False,0,2,3
1,False,4,0,3
9,False,2,5,0
99,False,3,1,3
104,False,8,6,9
37,False,1,8,11
61,False,3,7,9
77,False,10,4,5
59,False,3,9,17
56,True,12,3,9
106,True,5,8,5
41,True,4,7,14
53,True,6,5,7
99,True,5,3,4
80,False,4,4,6
29,False,2,5,4
45,False,5,4,9
90,False,1,4,6
36,False,3,6,3
64,True,5,3,14
14,True,0,3,5
66,True,1,4,4
53,True,11,3,5
40,True,4,2,17
62,True,7,7,10
58,True,9,4,7
10,True,4,3,13
108,True,12,2,6
38,True,2,6,11
102,False,5,4,5
44,False,6,5,5
95,False,1,11,3
43,False,5,10,10
11,False,5,6,7
74,True,5,4,10
82,True,9,1,15
23,True,12,4,9
96,True,4,6,4
37,True,2,3,10
40,False,7,7,5
53,False,1,5,7
7,False,0,7,3
2,False,5,8,6
99,False,5,5,8
77,False,11,9,12
59,False,2,8,15
80,False,5,4,18
20,False,5,6,5
71,False,4,3,4
33,True,8,5,6
43,True,13,5,9
101,True,0,10,5
86,True,5,5,5
46,True,3,5,12
77,True,6,4,10
63,True,1,0,12
34,True,8,0,12
97,True,11,1,13
89,True,5,4,9
95,False,0,6,1
79,False,1,7,1
28,False,3,7,1
35,False,1,6,3
54,False,4,7,0
96,True,8,0,3
13,True,3,0,3
91,True,7,0,4
90,True,4,0,1
80,True,4,2,5
35,False,0,3,2
101,False,1,8,1
64,False,0,5,1
53,False,0,3,2
66,False,1,8,1
65,True,5,1,9
93,True,4,0,5
63,True,0,0,7
72,True,8,0,6
91,True,11,1,3
6,False,2,8,0
17,False,0,5,1
28,False,0,7,0
16,False,0,5,0
5,False,0,4,1
23,True,17,4,12
65,True,5,3,16
93,True,5,6,5
94,True,9,4,12
12,True,7,3,15
44,False,6,6,2
6,False,1,6,3
43,False,3,9,6
2,False,6,11,5
28,False,3,12,5
21,False,1,5,2
20,False,0,6,4
59,False,1,10,2
47,False,1,4,1
62,False,0,7,2
75,True,3,2,6
99,True,14,1,6
6,True,6,0,9
24,True,7,1,13
35,True,2,1,15
92,True,7,3,14
107,True,1,5,8
34,True,14,4,7
42,True,13,0,14
50,True,7,4,13
81,False,8,6,3
5,False,0,12,2
41,False,4,6,3
98,False,1,8,2
56,False,3,10,3
91,True,11,2,8
107,True,1,1,9
23,True,13,0,8
82,True,1,4,8
59,True,1,5,6
81,False,1,4,1
66,False,1,8,4
33,False,4,2,3
56,False,4,7,3
17,False,1,6,4
59,False,0,7,5
29,False,0,5,4
42,False,9,2,1
71,False,1,4,3
107,False,1,5,1
64,True,4,3,15
48,True,1,3,6
101,True,6,4,8
81,True,6,0,5
35,True,3,1,12
26,True,3,0,12
42,True,12,0,3
83,True,4,2,14
84,True,7,0,10
82,True,0,1,6
86,False,1,3,1
48,False,1,6,0
56,False,1,6,0
106,False,0,4,0
5,False,0,8,2
107,False,8,0,3
105,False,2,5,6
26,False,2,2,9
20,False,2,2,8
34,False,3,4,10
86,True,1,6,0
106,True,2,3,3
75,True,4,5,3
100,True,2,1,4
53,True,3,2,4
73,False,0,6,8
10,False,4,7,8
65,False,6,9,5
77,False,7,8,4
63,False,2,6,12
19,True,11,4,8
5,True,7,4,12
44,True,5,6,8
101,True,8,3,14
66,True,5,2,17
30,True,3,5,10
74,True,4,7,9
10,True,6,5,13
59,True,7,4,18
77,True,11,6,11
5,False,2,8,6
99,False,18,4,3
7,False,2,9,7
39,False,3,6,14
25,False,2,8,9
89,False,1,5,5
104,False,4,6,2
62,False,1,6,2
47,False,5,5,1
92,False,1,7,3
53,True,3,1,9
48,True,4,2,7
52,True,2,4,4
25,True,5,3,15
33,True,15,2,11
89,False,9,8,7
70,False,5,11,11
31,False,4,10,8
96,False,7,7,4
10,False,1,11,13
54,True,12,6,9
53,True,12,5,21
43,True,18,5,16
1,True,1,4,10
14,True,2,7,9
38,True,1,4,4
3,True,5,1,4
34,True,1,3,10
83,True,2,3,7
27,True,4,4,9
1,False,0,2,4
53,False,2,4,3
106,False,2,5,4
54,False,3,2,3
57,False,7,3,8
77,True,3,3,4
89,True,11,1,10
59,True,2,2,9
94,True,5,0,9
10,True,5,0,16
25,False,0,9,1
46,False,3,4,2
67,False,0,2,0
101,False,0,7,2
11,False,3,5,0
3,False,4,7,2
20,False,0,7,3
27,False,2,7,5
74,False,0,8,0
96,False,0,8,1
57,True,11,0,12
19,True,11,1,13
98,True,5,1,8
66,True,7,2,13
5,True,4,3,10
107,False,0,2,0
90,False,0,0,1
87,False,1,2,1
47,False,1,4,1
73,False,0,4,1
28,True,4,1,3
2,True,1,0,5
99,True,4,0,2
46,True,3,1,2
40,True,0,0,8
27,False,0,8,2
29,False,0,7,3
74,False,4,6,0
93,False,0,6,2
45,False,1,8,3
4,True,11,1,10
56,True,4,1,10
19,True,9,0,8
53,True,0,0,6
86,True,8,3,11
90,False,2,4,3
51,False,2,3,2
72,False,2,6,3
10,False,0,9,3
107,False,0,8,0
19,True,5,2,7
88,True,5,1,15
52,True,0,2,6
102,True,7,1,11
57,True,13,0,12
92,False,3,6,0
107,False,0,8,1
20,False,0,7,2
27,False,0,7,0
73,False,0,4,1
81,True,6,3,12
57,True,14,0,11
35,True,2,1,14
2,True,7,1,10
66,True,2,0,13
80,True,2,1,12
91,True,11,0,8
29,True,5,3,10
70,True,13,2,8
62,True,1,1,3
1,False,2,2,4
48,False,0,8,4
25,False,2,8,4
101,False,0,11,3
40,False,1,6,3
27,True,4,1,6
73,True,0,3,5
93,True,3,2,1
84,True,5,1,5
15,True,6,3,7
48,False,0,3,4
66,False,0,3,3
106,False,3,4,2
2,False,4,3,1
14,False,2,6,0
104,False,0,4,2
89,False,1,4,1
93,False,1,7,0
69,False,0,3,2
